window_index,train_start,train_end,val_start,val_end,test_start,test_end,train_size,val_size,test_size,val_loss,hidden_size,dropout,lr,acc,precision,recall,f1,total_pnl,num_trades,avg_pnl_per_trade
42,2021-02-17 06:57:00,2021-10-17 06:51:00,2021-10-17 07:06:00,2021-11-17 06:51:00,2021-12-17 06:57:00,2022-01-17 06:18:00,46627,5861,5798,0.4636492133140564,32,0.2,0.001,0.7816312313079834,0.7963674664497375,0.7728813290596008,0.7844486236572266,3.8762563597233064,2863,0.0013539142017894889
43,2021-03-17 07:03:00,2021-11-17 06:51:00,2021-11-17 07:00:00,2021-12-17 06:48:00,2022-01-17 06:57:00,2022-02-17 06:51:00,46771,5669,5832,0.47410276532173157,32,0.2,0.001,0.7865557670593262,0.8153106570243835,0.7738677263259888,0.7940487861633301,4.7415310834157545,2913,0.0016277140691437536
44,2021-04-17 06:57:00,2021-12-17 06:48:00,2021-12-17 06:57:00,2022-01-17 06:18:00,2022-02-17 06:57:00,2022-03-17 06:48:00,46702,5798,5274,0.48007291555404663,32,0.2,0.001,0.7798235416412354,0.8014131784439087,0.77825927734375,0.7896665334701538,4.176370205307667,2689,0.0015531313519180614
45,2021-05-17 07:15:00,2022-01-17 06:18:00,2022-01-17 06:57:00,2022-02-17 06:51:00,2022-03-17 07:00:00,2022-04-17 06:48:00,46803,5832,5635,0.460298627614975,32,0.2,0.001,0.7716591954231262,0.7953149080276489,0.7367485165596008,0.7649123072624207,2.8458183404684725,2604,0.0010928641860478005
46,2021-06-17 07:00:00,2022-02-17 06:51:00,2022-02-17 06:57:00,2022-03-17 06:48:00,2022-04-17 06:57:00,2022-05-17 06:51:00,46443,5274,5536,0.4744637906551361,32,0.2,0.001,0.7803140878677368,0.7987495064735413,0.7481698393821716,0.7726327776908875,4.543906046848238,2559,0.001775656915532723
47,2021-07-17 06:57:00,2022-03-17 06:48:00,2022-03-17 07:00:00,2022-04-17 06:48:00,2022-05-17 07:00:00,2022-06-17 06:54:00,46060,5635,5975,0.48839879035949707,32,0.2,0.001,0.7869822382926941,0.8401349186897278,0.7601464986801147,0.798141598701477,4.902684693787486,2965,0.001653519289641648
48,2021-08-17 06:57:00,2022-04-17 06:48:00,2022-04-17 06:57:00,2022-05-17 06:51:00,2022-06-17 06:57:00,2022-07-17 06:51:00,45651,5536,5588,0.46872878074645996,32,0.2,0.001,0.7874457240104675,0.8322725296020508,0.7535593509674072,0.7909624576568604,5.244349991112647,2671,0.0019634406556018895
49,2021-09-17 06:57:00,2022-05-17 06:51:00,2022-05-17 07:00:00,2022-06-17 06:54:00,2022-07-17 07:03:00,2022-08-17 06:48:00,45382,5975,5598,0.4573169946670532,32,0.2,0.001,0.7880101203918457,0.7898743748664856,0.76937335729599,0.7794890999794006,4.140021999254627,2627,0.0015759505136104406
50,2021-10-17 07:06:00,2022-06-17 06:54:00,2022-06-17 06:57:00,2022-07-17 06:51:00,2022-08-17 07:27:00,2022-09-17 06:42:00,45580,5588,5437,0.4612717032432556,32,0.2,0.001,0.7954249382019043,0.807692289352417,0.7614504098892212,0.7838900089263916,3.407107299780321,2470,0.0013793956679272554
51,2021-11-17 07:00:00,2022-07-17 06:51:00,2022-07-17 07:03:00,2022-08-17 06:48:00,2022-09-17 07:12:00,2022-10-17 06:54:00,45307,5598,5240,0.4489590525627136,32,0.2,0.001,0.7928571701049805,0.7714158892631531,0.75696861743927,0.7641239762306213,3.0188468705024514,2253,0.0013399231560152914
